trial,best_val_CRPS_log,ckpt_path,val_Brier_flash,val_Brier_peak,val_Brier_acc,T_in,H_out,d_model,num_layers,dropout,lr,weight_decay,batch_size,epochs,quantiles,lambda_q,lambda_flash,lambda_peak,lambda_acc,mean_brier,composite_obj
10,0.1742881357431321,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_10\best_model.pt,0.0485353597434134,0.169507971863653,0.0512420809795339,24,8,96,2,0.1,0.001,0.0001,16,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.08976180419553344,0.034229847969089254
8,0.17574256910287,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_08\best_model.pt,0.0482425524639351,0.16714325779275,0.0480895068153335,16,8,32,1,0.3,0.0005,1e-05,32,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.08782510569067287,0.06295897010686512
12,0.1756468336888871,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_12\best_model.pt,0.0487631897832476,0.1662946606319425,0.0499721951359408,24,8,32,2,0.1,0.0005,1e-05,32,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.08834334851704363,0.06797440572310876
5,0.1754564846661396,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_05\best_model.pt,0.0483057590648737,0.177819857123058,0.0517962230717972,24,8,64,2,0.1,0.0005,0.0001,16,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.0926406130865763,0.13568591900557067
7,0.1791492431969722,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_07\best_model.pt,0.0477918858530432,0.1841590788629186,0.056437115522173,16,8,32,1,0.3,0.0005,1e-05,32,10,"[0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95]",1.0,2.0,2.0,2.0,0.09612936007937826,0.35719794098393376
13,0.1770572587117578,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_13\best_model.pt,0.0489660347994142,0.1837969246166698,0.0729688886464581,16,8,64,2,0.3,0.001,0.0001,32,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.10191061602084737,0.36882071876188144
9,0.17455384343718,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_09\best_model.pt,0.0477892300335364,0.2229398070929603,0.0577522344630929,24,8,96,1,0.3,0.002,0.0001,8,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.10949375719652987,0.39448074738737315
1,0.1755457111285575,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_01\best_model.pt,0.0492564731334409,0.2154332676262884,0.0595750468013416,24,8,96,1,0.3,0.002,0.0001,8,10,"[0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95]",1.0,2.0,2.0,2.0,0.10808826252035697,0.4125751706097095
3,0.1786463055209562,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_03\best_model.pt,0.0472901856260358,0.2152478896588412,0.0491291291388501,24,8,96,1,0.3,0.002,0.0001,8,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.10388906814124237,0.4725746009192653
0,0.1787581428445759,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_00\best_model.pt,0.0479400448651207,0.2093375668582609,0.0536492519209188,16,8,32,1,0.3,0.0005,1e-05,32,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.10364228788143347,0.47305409768782614
6,0.1811633642283446,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_06\best_model.pt,0.0490147053012346,0.1922146141725311,0.0543285463292037,24,8,32,2,0.1,0.0005,1e-05,32,10,"[0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95]",1.0,2.0,2.0,2.0,0.0985192886009898,0.48662484750064067
11,0.1807814365088978,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_11\best_model.pt,0.0483778824371448,0.2100856057835531,0.0514485589151823,24,8,64,2,0.1,0.0005,0.0001,16,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.10330401571196006,0.5546589471335484
2,0.1827923424772347,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_02\best_model.pt,0.0475313464870423,0.1987116669820059,0.0560995043372844,16,8,32,1,0.3,0.0005,1e-05,32,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.10078083926877753,0.5971108440352673
14,0.1858387802116111,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_14\best_model.pt,0.0484309830885031,0.188734588526233,0.0528947723643053,24,8,96,2,0.3,0.0005,1e-05,8,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.09668678132634713,0.6566241771320598
4,0.1780716072762294,C:\Users\deepn\Documents\Rainfall_Training_Research_Lab\Baselines\DeepAR\Tuning_v1\trial_04\best_model.pt,0.0473523182205744,0.2405574273138747,0.0604344193282908,24,8,96,2,0.1,0.001,0.0001,16,10,"(0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95)",1.0,2.0,2.0,2.0,0.1161147216209133,0.6637775079427951
